"mat1","cod1","mat2","cod2","nom_periodo","cantidad"
"ADMINISTRACION DE OPERACIONES","1915","FISICA 3","1153","202401","3"
"ADMINISTRACION DE OPERACIONES","1915","FISICA EXPERIMENTAL 1","1154","202101","2"
"ADMINISTRACION DE OPERACIONES","1915","FISICA EXPERIMENTAL 1","1154","202301","4"
"ADMINISTRACION DE OPERACIONES","1915","FISICA EXPERIMENTAL 1","1154","202401","3"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE INGENIERIA DE SOFTWARE","3334","202001","7"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE INGENIERIA DE SOFTWARE","3334","202101","2"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE INGENIERIA DE SOFTWARE","3334","202201","4"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE INGENIERIA DE SOFTWARE","3334","202301","5"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE INGENIERIA DE SOFTWARE","3334","202401","8"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE OPTIMIZACION","1871","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE OPTIMIZACION","1871","202301","18"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE OPTIMIZACION","1871","202401","1"
"ADMINISTRACION DE OPERACIONES","1915","FUNDAMENTOS DE ROBOTICA INDUSTRIAL","1788","202301","3"
"ADMINISTRACION DE OPERACIONES","1915","GEOMETRIA Y ALGEBRA LINEAL 1","1030","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","GEOMETRIA Y ALGEBRA LINEAL 2","1031","202001","1"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE CALIDAD","1940","202001","13"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE CALIDAD","1940","202101","7"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE CALIDAD","1954","202201","4"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE CALIDAD","1954","202301","10"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE CALIDAD","1954","202401","6"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.","1539","202001","21"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.","1539","202101","19"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.","1539","202201","20"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.","1539","202301","21"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.","1539","202401","27"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE MANTENIMIENTO","1920","202001","13"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE MANTENIMIENTO","1920","202101","11"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE MANTENIMIENTO","1920","202201","10"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE MANTENIMIENTO","1920","202301","12"
"ADMINISTRACION DE OPERACIONES","1915","GESTION DE MANTENIMIENTO","1920","202401","4"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA CIENCIA DE MATERIALES","1723","202001","5"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA CIENCIA DE MATERIALES","1723","202101","5"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA CIENCIA DE MATERIALES","1723","202201","4"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA CIENCIA DE MATERIALES","1723","202301","3"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA CIENCIA DE MATERIALES","1723","202401","4"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA INVESTIGACION DE OPERACIONES","1610","202101","4"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA INVESTIGACIÓN DE OPERACIONES","1650","202301","7"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA INVESTIGACIÓN DE OPERACIONES","1650","202401","2"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA PREVENCION DE RIESGOS LABORALES","Q16","202001","8"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA PREVENCION DE RIESGOS LABORALES","Q16","202101","4"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA PREVENCION DE RIESGOS LABORALES","Q16","202201","4"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA PREVENCION DE RIESGOS LABORALES","Q16","202301","7"
"ADMINISTRACION DE OPERACIONES","1915","INT. A LA PREVENCION DE RIESGOS LABORALES","Q16","202401","8"
"ADMINISTRACION DE OPERACIONES","1915","MATEMATICA DISCRETA 1","1023","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","MATEMATICA DISCRETA 1","1023","202201","1"
"ADMINISTRACION DE OPERACIONES","1915","MECANICA NEWTONIANA","1122","202001","3"
"ADMINISTRACION DE OPERACIONES","1915","MECANICA NEWTONIANA","1122","202101","2"
"ADMINISTRACION DE OPERACIONES","1915","MECANICA NEWTONIANA","1122","202201","4"
"ADMINISTRACION DE OPERACIONES","1915","MECANICA NEWTONIANA","1122","202301","7"
"ADMINISTRACION DE OPERACIONES","1915","MECANICA NEWTONIANA","1122","202401","3"
"ADMINISTRACION DE OPERACIONES","1915","MODELOS ESTADISTICOS PARA CLASIF. Y REGRESION","1868","202201","6"
"ADMINISTRACION DE OPERACIONES","1915","MODULO DE EXTENSION- INGENIERIA MECANICA","2032","202401","1"
"ADMINISTRACION DE OPERACIONES","1915","MOTORES DE COMBUSTION INTERNA","1818","202001","1"
"ADMINISTRACION DE OPERACIONES","1915","MOTORES DE COMBUSTION INTERNA","1818","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","OPTIMIZACION BAJO INCERTIDUMBRE","1632","202201","2"
"ADMINISTRACION DE OPERACIONES","1915","PASANTIA","2098","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","PASANTIA","2098","202401","2"
"ADMINISTRACION DE OPERACIONES","1915","PRINCIPIOS DE QUIMICA GENERAL","1620","202001","2"
"ADMINISTRACION DE OPERACIONES","1915","PRINCIPIOS DE QUIMICA GENERAL","1620","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","PROGRAMACION 1","1373","202201","1"
"ADMINISTRACION DE OPERACIONES","1915","PROGRAMACION 1","1373","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","PROGRAMACION 2","1321","202401","1"
"ADMINISTRACION DE OPERACIONES","1915","PROYECTO","2099","202001","1"
"ADMINISTRACION DE OPERACIONES","1915","PROYECTO","2099","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","TALLER DE DISEÑO, COM. Y REPRES. GRAFICA","1220","202101","2"
"ADMINISTRACION DE OPERACIONES","1915","TALLER DE REPRESENTACION Y COMUNICACION GRAFICA_MODULO A","1266","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","TALLER DE REPRESENTACION Y COMUNICACION GRAFICA_MODULO A","1266","202401","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","AGRIMENSURA LEGAL 3","1817","202401","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ALISTAMIENTO NAVAL","2601","202001","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ANALISIS Y DISEÑO DE ALGORIT.DISTRIB.EN REDES","1440","202001","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ANTENAS Y PROPAGACION","5817","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","APLICACIONES DE TEORIA DE LA INFORMACION AL PROC. DE IMAG.","1438","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","APRENDIZAJE AUTOMATICO","1866","202001","8"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ASPECTOS AVANZ. DE REDES DE COMPUTADORAS","1448","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","ASPECTOS AVANZ. DE REDES DE COMPUTADORAS","1448","202201","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","AVALUACIONES 3","2023","202401","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","BASES DE DATOS NO RELACIONALES","1949","202101","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","BASES DE DATOS NO RELACIONALES","1949","202201","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","BASES DE DATOS NO RELACIONALES","1949","202301","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","1062","202001","4"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","1062","202101","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","1062","202201","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","1062","202401","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO VECTORIAL","1063","202001","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO VECTORIAL","1063","202101","5"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO VECTORIAL","1063","202201","6"
