uc_1,uc_2,coincidencia
1062,Q102,31.5
1062,Q49,2.5
1062,Q59,2.5
1062,Q59B,3.5
1062,TCI26,2.0
1062,TCI27,1.0
1062,TCI28,1.0
1062,TI22,1.0
1062,TIM10,1.0
1062,TIM11,1.0
1062,TIM12,1.0
1062,TIM13,1.0
1062,TIM14,1.0
1062,TIM21,1.0
1062,TIM30,1.0
1062,TIM50,1.0
1062,TIM51,1.0
1062,TIM60,1.5
1062,TIM62,1.0
1062,TTR13,1.0
1063,1023,6.25
1063,1025,82.0
1063,1026,3.25
1063,1031,19.5
1063,1033,8.75
1063,1064,67.5
1063,1122,28.5
1063,1123,21.0
1063,1144,3.0
1063,1151,11.5
1063,1152,38.5
1063,1153,79.5
1063,1155,11.5
1063,1220,9.5
1063,1224,34.75
1063,1225,1.0
1063,1266,8.5
1063,1269,9.0
1063,1312,1.0
1063,1321,2.0
1063,1322,17.0
1063,1323,4.0
1063,1327,2.0
1063,1355,1.0
1063,1373,17.0
1063,1411,34.75
1063,1422,1.0
1063,1446,1.0
1063,1456,6.75
1063,1460,1.0
1063,1509,2.0
1063,1510,5.75
1063,1512,14.5
1063,1521,2.75
1063,1524,1.0
1063,1526,1.0
1063,1537,1.0
1063,1619,1.5
1063,1624,1.0
1063,1633,1.0
1063,1715,2.3333333333333335
1063,1715B,2.0
1063,1719,1.75
1063,1721,1.0
1063,1765,2.0
1063,1779,1.0
1063,1858,2.0
1063,1868,1.0
1063,1911,1.5
1063,1922,1.5
1063,1927,1.0
1063,1933,1.0
1063,1945,1.75
1063,1946,1.0
1063,1951,1.0
1063,2001,2.25
1063,2011,1.0
1063,2018,1.0
1063,2021,1.0
1063,2032,1.0
1063,2033,3.5
1063,2035,1.0
1063,2037,1.6666666666666667
1063,2038,1.0
1063,2039,1.0
1063,2109,2.0
1063,2112,2.0
1063,2206,2.0
1063,2216,1.0
1063,2217,3.0
1063,2246,1.0
1063,2247,1.0
1063,2256,6.0
1063,2315,1.0
1063,2368,4.75
1063,2388,1.3333333333333333
1063,2413,2.0
1063,2416,2.5
1063,2510,1.0
1063,2603,1.0
1063,5714,1.0
1063,5824,2.5
1063,5857,3.3333333333333335
1063,5862,1.0
1063,5904,1.0
1063,5905,1.0
1063,5910,1.0
1063,EP15,1.0
1063,Q102,4.0
1063,Q49,1.0
1063,Q59,8.5
1063,Q59B,10.0
