"codenservicio_mat","nombre_mat","fecha_inicio","cantidad"
"5904","TALLER DE INTRODUCCION A LA ING. ELECTRICA","2020-03-02","115"
"5913","ANALISIS Y CONTROL DE SISTEMAS NO LINEALES","2020-03-02","7"
"5916","FUNDAMENTOS DE SEGURIDAD INFORMATICA","2020-03-02","38"
"A88","PASANTIA-TRABAJO PRACTICO DE GRADO,MOD.1","2020-03-02","15"
"AC17","ESTABILIDAD DE SISTEMAS ELECTRICOS DE POTENCIA","2020-03-02","1"
"LIB49","TALLER DE INGENIERÍA BIOLÓGICA I","2020-03-02","17"
"LIB55","TEORIA DE LOS CIRCUITOS","2020-03-02","1"
"MI2","MATEMATICA INICIAL","2020-03-02","357"
"PA159","CALIDAD DE ENERGIA: CONCEPTOS Y HERRAMIENTAS PARA SU ABORDAJE","2020-03-02","7"
"PA204","FUNDAMENTOS DE LA SEGURIDAD INFORMATICA","2020-03-02","1"
"PA242","DISEÑO DE REDES INALAMBRICAS DE CLASE EMPRESARIAL","2020-03-02","1"
"PA243","TOPOLOGIA Y ANALISIS REAL","2020-03-02","4"
"PA288","SIMULACION DE SISTEMAS DE ENERGIA ELECTRICA","2020-03-02","13"
"PA355","MARKETING DE TECNOLOGIA E INNOVACION","2020-03-02","9"
"PA357","DEFORMACIONES DIFERIDAS EN ESTRUCTURAS DE HORMIGON","2020-03-02","1"
"PA370","APRENDIZAJE AUTOMATICO","2020-03-02","10"
"PA529","SISTEMAS EMBEBIDOS PARA TIEMPO REAL","2020-03-02","1"
"PA548","REDES DE DATOS 2","2020-03-02","2"
"PA563","INTRODUCCION A LA CIENCIA DE DATOS","2020-03-02","21"
"PA567","VEHICULOS HIBRIDOS, ELECTRICOS Y A HIDROGENO","2020-03-02","23"
"PA578","SEMINARIO DE PROGRAMACION A NIVEL DE TIPOS","2020-03-02","1"
"PC21","METODOS DE GESTION DE PROYECTOS","2020-03-02","10"
"PE030","ESTIMACIÓN Y PREDICCIÓN EN SERIES TEMPORALES","2020-03-02","7"
"PE104","SEMINARIO DE INGENIERIA BIOMEDICA","2020-03-02","2"
"PE106","DISEÑO LOGICO 2","2020-03-02","2"
"PE121","GUIAS DE CARGA DE TRANSFORMADORES","2020-03-02","18"
"PE125","TECNICAS DE ENSAYOS DE MATERIALES Y EQUIPAMIENTO EN ALTA TENSION","2020-03-02","6"
"PE139","HORMIGONES ESPECIALES","2020-03-02","3"
"PE244","PROCESAMIENTO DIGITAL SEÑALES DE AUDIO","2020-03-02","1"
"PE254","PROPIEDAD INTELECTUAL","2020-03-02","10"
"PE310","INTRODUCCION A LOS SISTEMAS DE PROTECCION DE SISTEMAS ELECTRICOS DE POTENCIA","2020-03-02","7"
"PE316","INTRODUCCION A LA TEORIA DE LA INFORMACION","2020-03-02","3"
"PE336","OPTIMIZACION TERMODINAMICA DE MAQUINAS TERMICAS","2020-03-02","11"
"PE407","ENERGIA SOLAR FOTOVOLTAICA","2020-03-02","17"
"PE69","ANALISIS Y CONTROL DE SISTEMAS NO LINEALES","2020-03-02","2"
"PM60","ESTADISTICA MULTIVARIADA COMPUTACIONAL","2020-03-02","8"
"Q13","MOD. DE PRACT. EN ING. DE LOS PROC. QUIM. Y BIOL.","2020-03-02","8"
"Q16","INT. A LA PREVENCION DE RIESGOS LABORALES","2020-03-02","35"
"Q196","DISEÑO DE PROCESOS QUIMICOS","2020-03-02","11"
"Q21","TERMODINAMICA APL. A LA ING.DE PROCESOS","2020-03-02","116"
"Q22","FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","2020-03-02","167"
"Q503","LABORATORIO","2020-03-02","1"
